# Recoup failure taxonomy - maps Razorpay error_reason -> recovery-relevant root cause.
#
# SOURCE: https://razorpay.com/docs/errors/payments/list/  (scraped 2026-08-23)
# The reason + error_class columns are verbatim from that page. Everything to the
# right of them is a Recoup judgement call and is what the policy engine consumes.
#
# The insight this file encodes: for revenue recovery the ~120 error reasons collapse
# onto four decision-relevant questions --
#   1. root_cause        why the money did not move (16 buckets)
#   2. retry_class       when, if ever, another attempt is worth making
#   3. new_instrument    whether retrying the SAME instrument is provably futile
#   4. customer_action   whether a human must act (i.e. whether contact is warranted)
# ...plus in_scope: whether this is recoverable revenue at all, or a merchant
# integration bug / ops ticket that must be routed AWAY from the recovery queue
# instead of dunned. Dunning a customer over our own invalid_order_id is the single
# most expensive mistake this system can make.
#
# retry_class:  NOW (minutes) | SOON (hours) | SCHEDULED (days) | NEVER
# owner:        customer | business | bank | razorpay
#
# reason	error_class	root_cause	retry_class	new_instrument	customer_action	owner	in_scope
credit_limit_inactive	gateway	CREDIT_INELIGIBLE	NEVER	1	1	customer	1
credit_limit_not_approved	gateway	CREDIT_INELIGIBLE	NEVER	1	1	customer	1
credit_not_permitted	gateway	CREDIT_INELIGIBLE	NEVER	1	1	customer	1
credit_failed	gateway	CREDIT_INELIGIBLE	SOON	1	1	customer	1
debit_declined	gateway	UNKNOWN	SOON	1	1	bank	1
deemed_transaction	gateway	OPS	NEVER	0	0	razorpay	0
debit_instrument_inactive	gateway	INSTRUMENT_BLOCKED	NEVER	1	1	customer	1
duplicate_rrn_found	gateway	GATEWAY_DOWN	NOW	0	0	razorpay	1
funds_blocked_by_mandate	gateway	FUNDS	SCHEDULED	1	1	customer	1
gateway_technical_error	gateway	GATEWAY_DOWN	NOW	0	0	razorpay	1
invalid_response_from_gateway	gateway	GATEWAY_DOWN	NOW	0	0	razorpay	1
issuer_technical_error	gateway	ISSUER_DOWN	SOON	0	0	bank	1
mandate_creation_declined	gateway	MANDATE_PROBLEM	NEVER	1	1	customer	1
mandate_creation_expired	gateway	MANDATE_PROBLEM	NOW	0	1	customer	1
mandate_creation_failed	gateway	MANDATE_PROBLEM	SOON	0	1	customer	1
mandate_creation_timeout	gateway	MANDATE_PROBLEM	NOW	0	1	customer	1
mcc_amount_limit_exceeded	gateway	COMPLIANCE	NEVER	0	0	business	0
payment_amount_tampered	gateway	INTEGRATION_BUG	NEVER	0	0	business	0
payment_collect_request_expired	gateway	AUTH_ABANDONED	NOW	0	1	customer	1
payment_declined	gateway	UNKNOWN	SOON	1	1	bank	1
payment_declined_due_to_high_traffic	gateway	GATEWAY_DOWN	SOON	0	0	razorpay	1
payment_pending	gateway	AUTH_ABANDONED	SOON	0	1	customer	1
payment_session_expired	gateway	AUTH_ABANDONED	NOW	0	1	customer	1
psp_app_not_available	gateway	PSP_DOWN	SOON	1	1	customer	1
psp_app_not_supported	gateway	PSP_DOWN	NEVER	1	1	customer	1
psp_not_available	gateway	PSP_DOWN	SOON	1	1	customer	1
psp_not_registered	gateway	INSTRUMENT_NOT_ENROLLED	NEVER	1	1	customer	1
reqauth_mandate_not_acknowledged	gateway	MANDATE_PROBLEM	NOW	0	1	customer	1
request_timed_out	gateway	GATEWAY_DOWN	NOW	0	0	razorpay	1
transaction_daily_count_exceeded	gateway	LIMIT_EXCEEDED	SCHEDULED	0	1	customer	1
vpa_resolution_failed	gateway	INSTRUMENT_INVALID	SOON	1	1	customer	1
issuer_host_unreachable	escalated	ISSUER_DOWN	SOON	0	0	bank	1
merchant_kyc_pending	escalated	MERCHANT_CONFIG	NEVER	0	0	business	0
